review,sentiment
"As a native Chinese, I can not accept this kind of idea that some people must die for a 'better world'. I said 'better world' because it is a lie that Chinese people have been indoctrinated for thousand years! <br /><br />I guess most western audience may don't know Qin Shihuang(means the first emperor), the king in this film is the most notorious tyrant in ancient China. The Tianxia(Chinese word was spoken by the king, means 'the land and the people') spoken from his mouth is totally lie. From then on, one after another, all the king in ancient china spoke the same thing but very few of them did as what they said.<br /><br />Another fact is, Qin Shihuang's empire only lasted about twenty years before it was destroyed by people.<br /><br />Well, I do like the beautiful scenes of this movie, but it can not make me accept the idea that people should die for a tyrant.",negative
"This had a great cast with big-name stars like Tyrone Power, Henry Fonda, Randolph Scott, Nancy Kelly, Henry Hull and Brian Donlevey and a bunch more lesser-but-known names with shorter roles. It also had Technicolor, one of the few movies made with it in 1939.<br /><br />Now the bad news.......regrettably, I can't say much positive for the story. It portrayed the James boys in a totally positive light....and Hollywood has done that ever since. Why these criminals are always shown to be the ""good guys"" is beyond me. This film glamorizes them and made their enemies - the railroad people - into vicious human beings. The latter was exaggerated so much it was preposterous. Well, that's the film world for you: evil is good; good is bad.<br /><br />Hey Hollywood: here's a news flash - The James boys were criminals! Really - look it up!",negative
"I don't normally write reviews, but this ""film"" was special. I couldn't turn it off. I don't believe I've ever seen a worse movie, but there I sat, watching. It was like a horrible car wreck with blood flowing all over the highway. It was disgusting, but I couldn't turn away. Where do I start? The movie seems to think it's a sports thriller, but it's so utterly ridiculous, it can only be a comedy, but it's not funny, not even in a dumb/silly way. It's like watching your cousins try to act out a skit on family get-togethers. It's painful to watch, but at least it's only for a minute or two. Second String went on for over an hour. <br /><br />Whoever was involved with making this movie should not work again. The writing, directing, acting, and everything was just terrible. The problem is I can't describe how bad it was; you just had to see it. And I'm sure this will NEVER be shown again, so unless you saw it, you're out of luck. I mean it was almost worth seeing just for the fact that it gave me some appreciation for every other ""bad"" film I've seen over my lifetime. And for every film I see in the future that I can't stand, I will think to myself, well, at least it wasn't bad as the Second String.",negative
"I watched this movie on TV last night, hoping for a realistic account of what could happen if there were an outbreak of some highly transmittable disease. I was disappointed, and I think the movie was garbage. It did not seem real to me. Some of the acting was awful, in particular that of the doctor. She was about the worst I've seen. The whole thing played like a CNN 'worst case scenario'. Even the obligatory disaster movie human relations bits didn't seem sincere. I have seen some disaster movies, in particular those weather ones, which are actually so bad they are amusing. This one is almost as bad, but it is not even amusing, it is tedious and boring.Don't bother with this one.",negative
"1) I am not weapon expert, but even i can see difference between U.S. army riffles in WWI and WWII. In movie we can see privates, armed with ""M1 Garand"" (invented in year 1932!), not authentic ""1903 Springfield"" (aka ""Silent Death""), who privates use until WWII. Difference - M1 can load 1,5 times more ammunition and 3 times more fire rate! M1 was semi - automatic, Springfield requires reloading after every shot. Little difference?! 2) German army uniforms has borrowed from 1940 Year too. Especially - helmets. German helmets until end of WWI have significant pike on top, we cannot see even one in movie. And if we make little additional search in archives - how much truthful is this ""True Story""? I am surprised, how much ""truthful"" can be film directors in a pursuit of cheap propagation.",negative
"Do you ever wonder what is the worst movie ever made? Stop wondering. I'm telling you, Michael is it!<br /><br />It is not ""heartwarming,"" ""entertaining,"" or ""Travolta at his best."" It just sucks. If I had kids, I would let them watch Deep Throat before Michael!<br /><br />A sold-out John Travolta, a washed-up and balding William Hurt, and an about to die any time now Jean Stapleton highlight this turd of a film.<br /><br />But wait...you'll get to hear Andie McDowell sing! Yeah. Hollywood really s**t all over us with this one!",negative
"The film began with Wheeler sneaking into the apartment of his girlfriend. Her aunt (Edna May Oliver--a person too talented for this film) didn't like Wheeler--a sentiment I can easily relate to. The aunt decided to take this bland young lady abroad to get her away from Wheeler. They left and Wheeler invested in a revolution in a small mythical kingdom because they promised to make him their king. At about the same time, Woolsey was in the same small mythical kingdom and he was made king. So when Wheeler arrived, it was up to the boys to fight it out, but they refused because they are already friends--which greatly disappointed the people, as killing and replacing kings is a national pastime.<br /><br />I am a huge fan of comedy from the Golden Age of Hollywood--the silent era through the 1940s. I have seen and reviewed hundreds, if not thousands of these films and yet despite my love and appreciation for these films I have never been able to understand the appeal of Wheeler and Woolsey--the only comedy team that might be as bad as the Ritz Brothers! Despite being very successful in their short careers in Hollywood (cut short due to the early death of Robert Woolsey), I can't help but notice that practically every other successful team did the same basic ideas but much better. For example, there were many elements of this film reminiscent of the Marx Brother's film, DUCK SOUP, yet CRACKED NUTS never made me laugh and DUCK SOUP was a silly and highly enjoyable romp. At times, Woolsey talked a bit like Groucho, but his jokes never have punchlines that even remotely are funny! In fact, he just seemed to prattle pointlessly. His only funny quality was that he looked goofy--surely not enough reason to put him on film. Additionally, Wheeler had the comedic appeal of a piece of cheese--a piece of cheese that sang very poorly! A missed opportunity was the old Vaudeville routine later popularized by Abbott and Costello as ""who's on first"" which was done in this film but it lacked any spark of wit or timing. In fact, soon after they started their spiel, they just ended the routine--so prematurely that you are left frustrated. I knew that ""who's on first"" had been around for many years and used by many teams, but I really wanted to see Wheeler and Woolsey give it a fair shot and give it their own twist.<br /><br />Once again, I have found yet another sub-par film by this duo. While I must admit that I liked a few of their films mildly (such as SILLY BILLIES and THE RAINMAKERS--which I actually gave 6's to on IMDb), this one was a major endurance test to complete--something that I find happens all too often when I view the films of Wheeler and Woolsey. Where was all the humor?!",negative
"I was really hoping that this would be a funny show, given all the hype and the clever preview clips. And talk about hype, I even heard an interview with the show's creator on the BBC World Today - a show that is broadcast all over the world.<br /><br />Unfortunately, this show doesn't even come close to delivering. All of the jokes are obvious - the kind that sound kind of funny the first time you hear them but after that seem lame - and they are not given any new treatment or twist. All of the characters are one-dimensional. The acting is - well - mediocre (I'm being nice). It's the classic CBC recipe - one that always fails.<br /><br />If you're Muslim I think you would have to be stupid to believe any of the white characters, and if you're white you'd probably be offended a little by the fact that almost all of the white characters are portrayed as either bigoted, ignorant, or both. Not that making fun of white people is a problem - most of the better comedies are rooted in that. It's only a problem when it isn't funny - as in this show.<br /><br />Canada is bursting with funny people - so many that we export them to Hollywood on a regular basis. So how come the producers of this show couldn't find any?",negative
"First of all ""Mexican werewolf in Texas"" is not a werewolf movie. This title is bullcrap. The story is actually about a Chupacabra that kills all the local villagers in the little town of Furlough in Texas. I suppose the distributors renamed the original title so that it would make some extra bucks or something. And I guess it actually works because that's the reason why I bought this piece of crap, it sounded so stupid. Anyway the movie isn't any good. Actually it's bloody awful. But I didn't expect anything else when I bought it. It's a low budget horror movie with a Chupacabra monster. If you enjoy low budget horror with bad dialog, actors and some gore then you should check into this movie. But I must warn you, this movie is really baaaaaaad.<br /><br />This movie has some of the worst acting I have ever seen. The actors try to hard and t it gets completely ridiculous. They almost never say a line in a normal way. They always have this completely wrong tone about just everything they say. It's so stupid it almost looks like a freakin parody. It's like they shot each scene only one single time and were happy about it. The worst of them all is the blond girl which is supposed to play a bimbo. She's the worst of them all. I have never seen an actor as bad as her (And I've seen Pteradactyl). Even when her boyfriend dies she can't stop being a bimbo about it. I hate her.<br /><br />Some of the shots in this movie were actually quite good. The ones that where shot in the daytime are all pretty decent for a low budget project. But most of the movie is shot in the night when the Chupacabra strikes and the lighting is way too dark. The gore scenes are few and short, but really grizzly and violent. The effects are pretty hilarious really, but that's the way I like it. The Chupacabra looks pretty messed up, and it's easy to see that it's a guy in suit.<br /><br />Overall this movie should only be watched by extreme fans of low budget flicks and it's very important to not watch this alone because you will probably be bored to death. I recommend watching this flick with your friends and some beer.",negative
"This movie is so God-awful that it was literally a chore to watch. I wanted to eject it from my vcr and throw it across the room, but kept thinking (foolishly) that it would eventually get funny and then everything would be all right. ""You lose, we win, yay!"" This movie should be required viewing for anyone who even once entertained the thought that Jackie Mason was funny. After that, beat them ove the head with this movie until the tape cracks. And if you're even considering renting this turd (or worse yet, have!) I have one thing to ask of you: didn't you even look at the cover? I mean, with crap like this you can tell with just a glance how bad it is! ""Oy vey!"" This movie sucked.",negative
