review,sentiment
"A rather silly little film you just may love.<br /><br />Although rather corny and cliché at times, it nonetheless works and makes for good clean fun. Five teams are engaged on a scavenger hunt and battle each other and their wits to win the all night contest - just for the sheer joy ""knowing yours is the best team.""<br /><br />Notable for several screen debuts including David Naughton's first film role after his Dr. Pepper ""Be a Pepper"" commercials and before his major 1981 hit ""American Werewolf in London"". Also features Paul Ruebens in what I believe is his first Pee Wee Herman-esquire roll a year before he became known for it. And last but not least, Mr. Spin City and Alex Keaton himself, Michael J. Fox gets his first film role here. Fans will remember Stephen Furst as Flounder in Animal House. Outside of that, no names, but all funny characters.<br /><br />Doubt it has ever made it to DVD, but there are still probably some VHS copies floating around and you might even catch on a late, late show sometime. If you do, is worth your watch. You may hate it, but it may also become a quirky little movie you come to love.",positive
"This is an OK adaptation of the breath taking book of Dan Brown. I can't say it is novel or very good but they made a movie that you can enjoy. Given the excellent story, the result could have been better though. The movie is pretty long but at the end I was feeling like some things were missing. Sound effects and sound tracks were very good. Acting was well done but the character development phase was very weak. For people who didn't read the book, things may look happening too quickly. From my point of view, instead of trying to put as much as stuff from the book, they could have tried to do the important scenes more proper. What makes the book very good was all the puzzle like story combined with the excellent portrait of Vatican. You see neither of it in the movie. Too much rush and using the time not in a good way, these are main problems of the movie. So, it is worth watching but could have been done better.",positive
"What can I say? Not as bad as many here have made it out to be. The only reason I even watched this film that I had previously never heard of before, was strictly for IAN McSHANE.<br /><br />I was not disappointed in the least. IAN McSHANE was absolutely brilliant and brings an amazing subtlety to his role. He's always great to watch and for my money... an extremely underused actor.<br /><br />As for the rest of the film.... Every other actor in the movie delivered strong, solid performances. These people certainly weren't being paid huge amounts of cash for their participation (as this was a fairly low budget film) but this did not mean that any of them ""mailed"" their appearances in. Everyone was convincing and compelling with the parts given to them.<br /><br />I was even pleasantly surprised at ADRIAN PAUL's performance though I must admit I have only ever seen him in the HIGHLANDER Television series before this movie.<br /><br />The plot was well paced and the storyline intriguing and much like real life, not everything ends up tied in a nice neat little package for you at the end of the film. Anybody who expected a clear-cut, by-the-numbers, connect the dots ""conclusion"" or ""answer"" at the end of the movie... CLEARLY wasn't watching the film closely enough! This film is not going to tell you what the ""meaning of life"" is! The idea is that after seeing the film, you might go and discuss the unanswered questions with your friends over a coffee. I certainly did.<br /><br />No car chases... No explosions... No bar room brawls.... (sounds pretty dull, huh?) But the reality is that I was completely absorbed by the film and it's just a well written little piece with an interesting hook and solid character performances by all parties involved.<br /><br />****** WARNING...****** If you're the kind of person who dislikes movies that dangle an enormous ""question"" as the central engine of the story and then end the movie without answering that particular question directly...<br /><br />YOU MIGHT NOT ENJOY THIS FILM.",positive
"In 1929, director Walt Disney and animator Ub Iwerks changed the face of animation with the release of the very first installment of their ""Silly Symphonies"" series, ""The Skeleton Dance"". Iwerks and Disney had been collaborating together since the early 20s, in Disney's ""Laugh-O-Gram"" cartoon series; however, their friendship suffered a tremendous blow when Iwerks accepted an offer by a competitor to leave Disney and start his own animation studio. That was the birth of Celebrity Productions, where Iwerks continued developing his style and technique (and where he created the character of Flip the Frog). While his work kept the same high quality, it wasn't really popular and by 1936 the studio was closed. Later that year, Iwerks was hired by Columbia Pictures, and Iwerks decided to return to his old skeletons for another dance, this time in color.<br /><br />1937's ""Skeleton Frolics"" is essentially, a remake of the 1929 classic ""The Skeleton Dance"", the movie that borough him fame and fortune. Like that short film, it is set on an abandoned graveyard, where at midnight the creatures of the night come alive and begin to play. The dead rise from their coffins, ready for the show that's about to begin, as a group of skeletons has formed an orchestra, and begin to play a happy tune. Now, it's not easy to be a musician made of just bones, as some of the orchestra members have problems with their body parts, however, the band manages to put a good show and another group of skeletons begin to dance. A lovely couple of them faces the same problems that troubled the orchestra: it's hard to dance with loose body parts. Everything ends at dawn, and just when the sun is about to rise again, the skeletons run towards their graves.<br /><br />Directed and animated by Ub Iwerks himself, ""Skeleton Frolics"" follows faithfully the pattern set by ""The Skeleton Dance"" years before, although with a crucial difference: Iwerks did the whole film in Technicolor. The bright tonalities allowed Iwerks to create a more visually appealing film, and also to use the many new techniques he had been practicing since leaving Disney, creating even better effects of depth and dynamism than those he conceived before. It is certainly a more experimental film than ""The Skeleton Dance"", although sadly, this doesn't mean it's necessarily a better film. For starters, the film is practically identical to the one he did with Disney, with the only differences being the music (more on that later) and the color effects. It looks beautiful, no doubt about it, but it definitely feels kind of unoriginal after all.<br /><br />However, it is not the unoriginality of the concept what truly hurts the film (after all, Iwerks executes it in a wonderful way), but the fact that the musical melody created by Joe DeNat for the film is pretty uninteresting and lacks the charming elegance and whimsical fun of the one done by Carl W. Stalling for ""The Skeleton Dance"". In other words, while DeNat's tune is effective and appropriate for the theme, it's easy to forget about it rapidly while Stalling's song has a unique personality that makes it unforgettable. Being a musical film, this is of high importance, and so the mediocrity of the music brings down Iwerk's flawless work of animation. Personally, I think that with a better musical accompaniment, ""Skeleton Frolics"" would be remembered as fondly as ""The Skeleton Dance despite not being as groundbreaking, as it's still a fun film to watch.<br /><br />It's kind of sad that most of the work Iwerks did after leaving Disney is now forgotten due to his poor success, however, it must be said that if Iwerks lacked the popularity of Disney or Fleischer (Disney's main rival), he did not lack the quality of those companies' films. It was probably just a case of bad luck what made the man who gave life to Disney's mouse for the first time to face failure out of Disney. Despite its shortcomings, ""Skeleton Frolics"" is a very funny and visually breathtaking film, that while not exactly the most original and fresh film (one just can't help but thinking of ""The Skeleton Dance"" while watching it), it definitely reminds us that Iwerk's skeletons are still here to haunt us, and inspire us.<br /><br />8/10",positive
"You wear only the best Italian suits from Armani, hand stitched and fitted to your exact measurements. Your automobile is the finest that German engineering has to offer, and is equipped with as many gadgets as horses under the hood. You're a member of the finest polo clubs, frequently dine at restaurants such as Spago, and are always accompanied by at least two of the most beautiful women in the world. Your pocket watch doubles as a nuclear explosive, while your trusty pen can also be used as a semi-automatic .22 caliber gun. You snow ski in the Alps, go deep sea diving in the Caribbean, sky dive over the Andes, and all the while your hair is never, ever, out of place. You are Bond, James Bond, the world's most renown spy, favorite son of the good Queen, bad boy of the British SS, and perhaps the most desired man in the world. The character of James Bond was created by Ian Fleming, and is the movie industry's longest lasting icon, being the subject of over fifteen films spanning over four decades. The latest man to play the role is Pierce Brosnan, who took over the role of James Bond from Timothy Dalton in 1996, and made his 007 debut in Goldeneye.<br /><br />This is the setting for the first major title developed by a third party on the Nintendo 64. Goldeneye, developed by Rare for Nintendo, has been on the market for some time. Its continued dominance in the sales charts is just one testament to how good this game is, and no review library would be complete without it.<br /><br />Let's face it -- most of the time movie-licensed games are flops. Although the two seem like a good mix, the results, for the most part, have been horrendous. Games like Cliffhanger, True Lies, Lethal Weapon, and not to mention all the Star Trek flops, are ammunition enough against this mix. And for the record I am not a fan of movie licensed games, especially if I've seen the movie. At least that's how I used to think. In the case of Goldeneye, I had more reservations than normal. While not a bad movie, Goldeneye the film didn't have that much appeal to it, and I don't rank it in the top ten amongst Bond movies. As a game, however, let's just say it's a completely different story.<br /><br />The game is a first-person shooter, and in order to be successful, you'll need at least as much brains as brawn. For those who have seen the movie, which I imagine is most of you reading this, the story is very consistent and follows the path of the movie with little variation. A plot to control the world's most dangerous satellite, Goldeneye, has begun in the USSR, and in the process a beautiful woman has been captured. Your missions will be many, the danger extreme. You will have to rely on your wits and experience to get you through the most grueling missions the world has ever known. M will brief you as soon as you're ready. Good day, James.",positive
"This is an excellent film about the characters in a adult swimming class, their problems, relationships and interactions with each other. It should have managed a wider distribution as it's much better than similar films from major studios out at the same time.<br /><br />The swimming instructor is an almost-Olympian, reduced to teaching adults basic lessons, and often the target of horndogging from his female students. He attempts, more or less, to fend them off, with varying results.<br /><br />The students characters are mainstream U.S.A; teachers, policemen, college students and retired people, all of whom haven't learned to swim for some reason. The movie covers their relationships, including friends, relatives and romantic conquests as they go through the class. Several subplots provide amusing fodder, including a teacher going through a divorce, some high school students making a documentary, and a girl who is only in the class to meet guys.<br /><br />This is a good date movie, or just one to watch when you're in the mood for a romantic drama with overtones of reality.",positive
"This mostly routine fact-based TV drama gets a boost from the fine performance by Cole. This is the story of a highly trained military man, unhappy with his wife and children, fakes his demise and runs off with the other woman. To support her in the manner in which she is accustomed he robs banks. Predictable, but not a bad watch.",positive
"I watched Six of a Kind for W.C. Fields - he's only in it for around 10 minutes and has one long scene, the infamous pool sequence he made famous in vaudeville, and several other great moments. The reamaining 55 minutes are also delightful, thankfully, mostly due to the hilarious Charlie Ruggles as the bumbling banker J. Pinkham Whinney. He is everyone's foil. He stutters and stumbles about to our pleasure. Also, his comedy partner, Mary Boland plays his wife, Flora. Joining in the proceedings are George Burns and Gracie Allen. Boland is particularly funny near the beginning and near the end, but Gracie and Ruggles use up most of the picture. Gracie's funny, quite, but she can also get tiring. And poor George Burns has absolutely nothing to do except repeat Gracie all the time. I don't remember laughing at him once (although he has one great scene with Ruggles, where Ruggles tries desperately to get George to take Gracie and leave him and his wife alone for a while, and one with Fields, where he asks Fields to sell him a sweater; that bit is exclusively Fields', though). The situation is constantly funny: the Whinneys are going to drive to California, but to help them with expenses, George and Gracie are recruited. 8/10.",positive
"EDMUND LOWE (who reminds me somewhat of Warren William), heads the nice cast of an interesting little mystery that moves at a brisk pace and runs just a little over an hour.<br /><br />Douglas Walton plays the unlucky jockey who appears to be intent on his own demise (hypnotism, anyone?), and the suspects include a good number of the supporting cast--everyone from Virginia Bruce, Kent Smith, Frieda Inescourt, Gene Lockhart, Jessie Ralph, Benita Hume, Rosalind Ivan and H.B. Warner. As an added bonus, there's Nat Pendleton as a dimwit detective--and furthermore, get a load of that art deco set decoration for the fancy interiors of a wealthy home. Must have been a set that was used in many a subsequent film.<br /><br />On the plus side, the mystery is not so complicated that anyone can follow the plot with reasonable assurance of not being too baffled. It's all suddenly clear to detective Philo Vance--and then he has a final confrontation with the murderer that gives the film a nifty five minutes of unmitigated suspense.<br /><br />Nicely done and passes the time in an entertaining manner.",positive
"Although I was hoping that I'd like it a little more, this was still certainly an impressive film. There were great performances by all the leads, and the story, while not what I'd call chilling, was still effective and it kept me interested. For me, the best part of this film was the look of the picture, for it always looked cold and damp and it just really seemed to suit the film well. I also thought that the low budget suited this movie, for I don't think that a crisp picture and clear sound would have worked as well in a film this grim. All things considered, it fell a little short of my expectations, but I'm still very glad that I finally sat down to watch this movie.",positive
