review,sentiment
"Let's keep it simple: My two kids were glued to this movie. It has its flaws from an adult perspective, but buy some jelly-worms and just enjoy it. <br /><br />And the Pepsi girl was excellent!<br /><br />And Kimberly Williams was pretty gosh-darned hot, although she's not in the film very much, so don't get too excited there.<br /><br />Not that's it's really a bad thing, but it is the kind of movie you watch just once. Don't buy the DVD.<br /><br />Enjoy!<br /><br />Did I mention Kimberly Williams? (That was for the dads.)",positive
"Lackawanna Blues is and excellent movie. The casting was perfect. Every actor and actress was perfectly suited for the role they played. Their chemistry together was amazing. The acting was superb. I felt as if i knew the characters. I could almost 'feel' them. They reminded me of people that I knew as a child growing up in the 50's and 60's. Oh, the memories!! My personal belief is that this movie should have been on the big screen for all to see. I have watched this movie so many times, that I can almost recite the lines as the characters are saying them. I can't even list my favorite part, because I have SO MANY favorite parts. Thank you for bringing back a part of my youth that I never see in this day and age...and that is Black people loving each other, looking out for each other, respecting each other, caring about each other, and doing all we can to help each other. Gotta go now. I have to go watch it again.",positive
"Saturday June 3, 6:30pm The Neptune<br /><br />Monday June 5, 4:30pm The Neptune<br /><br />Few celebrations of ethnic and cultural identity succeed as mightily as Carlos Saura's brilliant interpretation of Isaac Albeniz' masterpiece Iberia Suite. At the approach of its centennial, Saura drew together an unprecedented wealth of talent from the Spanish performing arts community to create this quintessential love song to their homeland. The twelve ""impressions"" of the suite are presented without narrative in stark surroundings, allowing the power of each performance to explode before Saura's camera. Creative use of large flats and mirrors, moved throughout the set, combined with screens, shadows, fire, rain and rear projection add glorious dramatic effects to the varied selections of song, dance and instrumental performance. Photographs of Albeniz reappear throughout the program, connecting the passion of the music to its great creator. Saura encompasses all Spaniards on his stage from the beautiful elegance of elderly flamenco dancers in traditional costume to children joyously dancing with their instructors.",positive
"As most people I am tired of the by the numbers clichéd movies that Hollywood makes. There seems to be no creativity in Hollywood. Companies only want to spend money on remakes are sequels that have an audience built in.<br /><br />This movie is a welcome change. It could be classified as romantic comedy for it's genre but don't let that turn you off this movie. This is a very original movie which is not like most things Hollywood produces.<br /><br />If you are reading this, you already know the basic plot so I will not bother going over that. The only movies that come to mind to compare this to are ""Interstate 60"" and ""Art of Travel"" which are little known gems that take a different path than most of the Hollywood garbage.<br /><br />This is well worth seeing if you are tired of watching more of the same.<br /><br />Dean",positive
"Many of the reviews and comments I have read about this movie say that this is a rather stale film and performance by Clara Bow. Although the story-line was rather typical of Clara's later silents, I still find it somewhat heart-stirring and incredibly fun. Clara plays a happy-go-lucky Hawaiian girl who will stop at nothing to win the man she loves...never mind that this man is married! Clara's lack of modesty was shocking in the day, but I believe it lends to the sweetness and general fun of the movie. Though definitely not a brilliant story-line (quite typical, actually), this movie is a nice showcase of Clara's ability to make the audience laugh.",positive
This movie has everything typical horror movies lack. Although some things are far fetched we are dealing with quality snow man engineers. The only preview i can reveal is that i cant wait for Jackzilla. Dare i say oscar winner. This is a perfect date movie. I advise all men for a nice romantic surprise see this movie with that special person.,positive
"Having just seen Walt Disney's The Skeleton Dance on the Saturday Morning Blog as linked from YouTube, I used those same sources to watch a remake done in Technicolor for the Columbia cartoon unit and animated by the same man-Ub Iwerks. The colors, compared to the earlier black and white, are really used imaginatively here and many of the new gags-like when one of the skeletal band players hits a wrong note constantly or when one loses his head and takes another one's off or when one dances with the other with part of that other gone-are just as funny as the previous short. It does get a little repetitious near the end. Still, Skeleton Frolics is well worth seeing for any animation buff who wants to compare this with the earlier Silly Symphony.",positive
"Emily Watson and Tom Wilkinson together - what a treat! With Rupert Everett and Linda Bassett rounding off the supporting roles to the foursome of lies and intrigue. Yet at the heart of it all, each character maintains a streak of decency - moral conscience held up in spite of obvious contradictions. ""Contradictions are the source of all movement and of all life."" How true these words are. Watson's Anne Manning is at the core of this intrigue - she's the central conscience that the other three latched on. She is the decency undeterred. <br /><br />The circumstances of lies are to each its own: one to defend one's professional name; one to hold back due to family/partner pressure; one simply don't want to face the consequence; one ironically can't believe the truth and lies to save friendship. These are all precarious situations. There lies the intrigue - fascinating to watch how each tackles truth and lies. Contradictions, indeed. In spite of the seeming dishonor, decency and heart remain strong. <br /><br />The treatment of the subject involved and how each of the character behaves are masterfully delivered simple with clarity. It's not sensational or complex as another film ""Where the Truth Lies"" 2005. Credits due to Fellowes' writing and the nuanced performances of both Watson and Wilkinson. There is warmth somehow that comes through the seemingly boldface or frustratingly hidden lies. Beneath it all, human frailty not excluded, they meant well. And following along with the story, the turn of events provided satisfaction and smiles to how the two Manning's seem to have grown and matured in their relationship. <br /><br />You might say there's no obvious action drama or thrilling scenes in ""Separate Lies,"" yet the intrigue is there and it will hold your attention. The deserving production efforts include cinematography by Tony Pierce-Roberts (a veteran to the Merchant-Ivory films) and music by Stanislas Syrewicz, with mood and tone reminiscent of composer Zbignew Priesner (of filmmaker Krzysztof Kieslowski's Trois Couleurs, especially: Bleu 1993.) This is a British film you just might not want to miss. <br /><br />Emily Watson (Anne, the wife): Breaking the Waves 1996 debut; Hilary and Jackie 1998; The Luzhin Defence 2000; Gosford Park 2001; Punch-Drunk Love, Red Dragon, Equilibrium in 2002. <br /><br />Tom Wilkinson (James, the husband): The Full Monty 1997; The Governess, Rush Hour (as villain) in 1998; In the Bedroom 2001, Normal (HBO cable movie) 2003, Eternal Sunshine of the Spotless Mind 2004, recently as Father Moore in: The Exorcism of Emily Rose 2005 opposite Laura Linney. <br /><br />Rupert Everett (Bill): He is simply delightful in ""My Best Friend's Wedding"" 1997 opposite Julia Roberts and marvelous in ""An Ideal Husband"" 1999 d: Oliver Parker, an Oscar Wilde play. Recently as Sherlock Holmes with Ian Hart as Dr. Watson, in PBS Mystery: Sherlock Holmes and the Case of the Silk Stockings 2004 TV. <br /><br />Linda Bassett (Maggie): she was very effective as Ella Khan opposite Om Puri in ""East is East"" 1999.",positive
"Angela (Sandra Bullock) is a computer expert but, being shy and somewhat of a recluse, she does all of her work from the confines of her condo. Just as she is about to take a vacation in Mexico, a co-worker sends her a computer disc with disturbing information on it. Angela agrees to meet with her fellow employee but he mysteriously dies in a plane crash. Angela heads to Mexico but takes the disc with her. While she is sunning on the beach, a terrific looking gentleman named Jack (Jeremy Northam) makes overtures to her. She falls for them and the two end up on a boat to Cozumel. However, Jack works for the folks who generated the secret information on the disc and he is out to get it. Even after Angela escapes from his clutches and lands back in the USA, Jack makes things difficult. He changes Angela's identity on every computer across the nation, making her lose her condo, her bank account, everything. Can Angela, a computer whiz, beat Jack at his own game? This very exciting movie has many assets. First, Bullock and Northam are two very beautiful, interesting actors and their presence adds immediate captivation. The script is very clever and sure in its knowledge of the capabilities of computers and their relevance in today's world. The costumes, sets, production, and direction of the movie are also quite wonderful. And, despite how it sounds, there is a great deal of exciting action as Angela goes on the run to defeat her enemy. If you love thrillers without unnecessary bloodshed or violence, this is a great choice. It delivers twists and turns with great frequency, making it possible for the viewer to ""net"" a very good evening of entertainment.",positive
"Look, this is a low budget horror film that suffers from all of the problems that go with low budget movies. But you must see this just to watch Lisa Erickson as Julie. She is SMOKIN' hot and a great little actress to boot! These types of horror movies often unearth a rare gem and The Power gave us Lisa Erickson! Nothing I enjoy more than sitting down in my studio apartment with a Coke and putting in this film. My friends Bob, Bill and Dennis agree.. Lisa is not only brilliant, she is a hottie. The movie itself often plods along and the rest of the actors are not very helpful in that regard. But as soon as Lisa hits the screen, things really start hopping. The others are clearly not in her league. This is not the Exorcist but as I said, if you want to see a fun little movie with a hot little actress, this is the one to see!",positive
